X,Y,id
1219115.87496862,767814.51249584,34
1218700.92426397,769267.445681098,35
1219027.5844398,769858.614997969,36
1219050.34270821,771346.612702304,37
1218197.91541789,772608.048669181,38
1218919.45870027,773576.016785927,39
1218353.9990113,774490.660676102,40
1220149.55455152,764772.158593656,41
1220194.90608852,765222.50877295,42
1220198.87149948,766917.745840453,43
1219747.12232542,768135.610380102,44
1219661.25219171,768837.730906032,45
1220122.89961675,769918.037938647,46
1219389.21369301,771288.170103827,47
1219754.6463813,772725.498985512,48
1219430.78149589,773569.120600236,49
1219622.30532921,774347.371214733,50
1220996.36381103,764341.470668049,51
1220559.3895506,765893.08000461,52
1221197.65079157,766445.533786426,53
1220494.50100483,768080.491902708,54
1220735.68473701,768588.418512589,55
1221082.12168362,770097.620918755,56
1220824.4726319,771335.324576204,57
1220547.98805764,772796.079674489,58
1220772.32915181,773429.880832732,59
1220945.03312039,774409.857757032,60
1222319.76686869,765081.018349432,61
1221756.21293698,765716.32264146,62
1222001.94715968,766339.722878708,63
1222434.22596974,767955.900428629,64
1221975.03851772,768867.565504491,65
1222458.50814906,770278.723722173,66
